agno	rbd	nombre_establecimiento	nombre_comuna	numero_region	dependencia	area_geografica	financiamiento	psu_lenguaje	psu_matematica	ive_media
2011	14703	THE KINGSTOWN SCHOOL	VIÑA DEL MAR	5	Particular Subvencionado	URBANO	612673852	522	547	51.171875
2011	14707	COLEGIO PORTALIANO	SAN FELIPE	5	Particular Subvencionado	URBANO	313648627	554	530	41.7840375586
2011	14716	PAN AMERICAN COLLEGE VINA DEL MAR	VIÑA DEL MAR	5	Particular Subvencionado	URBANO	300104141	546	536	46.9613259668
2011	14717	COLEGIO LAS AMERICAS	QUILPUÉ	5	Particular Subvencionado	URBANO	365181117	536	532	45.7516339869
2011	14720	LICEO GASTRONOMIA Y TURISMO	QUILPUÉ	5	Municipal	URBANO	519747071	437	411	71.3793103448
2011	14750	COLEGIO GREENLAND SAN FELIPE	SAN FELIPE	5	Particular Subvencionado	URBANO	182998100	553	565	40.909090909
2011	14751	COLEGIO EL ROBLE DE SANTO DOMINGO	SANTO DOMINGO	5	Particular Subvencionado	URBANO	186368669	529	517	51.1111111111
2011	14764	COLEGIO UMBRAL DE CURAUMA	VALPARAÍSO	5	Particular Subvencionado	URBANO	332485386	571	591	50
2011	14771	COLEGIO CARLOMAGNO	QUILPUÉ	5	Particular Subvencionado	URBANO	265274299	538	569	47.1698113207
2011	14773	COLEGIO GUARDIAMARINA RIQUELME	VALPARAÍSO	5	Particular Subvencionado	URBANO	279906152	512	522	46.3414634146
2011	14775	COLEGIO MONTESOL 2	QUILPUÉ	5	Particular Subvencionado	URBANO	182031196	498	492	52.2935779816
2011	14778	COLEGIO SAN NICOLAS	VILLA ALEMANA	5	Particular Subvencionado	URBANO	345436301	410	463	80.6451612903
2011	14779	COLEGIO MAR ABIERTO	VALPARAÍSO	5	Particular Subvencionado	URBANO	216406961	551	535	39
2011	14783	COLEGIO NUEVA ERA SIGLO XXI	VALPARAÍSO	5	Particular Subvencionado	URBANO	425260305	527	521	47.1794871794
