agno	rbd	nombre_comuna	numero_region	dependencia	area_geografica	financiamiento
2011	571	LA SERENA	4	Particular Subvencionado	URBANO	116439102
2011	573	LA SERENA	4	Particular Subvencionado	URBANO	361408408
2011	574	LA SERENA	4	Particular Subvencionado	URBANO	693740673
2011	575	LA SERENA	4	Particular Subvencionado	URBANO	709749921
2011	578	LA SERENA	4	Municipal	URBANO	253577885
2011	579	LA SERENA	4	Particular Subvencionado	URBANO	841334020
2011	580	LA SERENA	4	Particular Subvencionado	URBANO	904184963
2011	581	LA SERENA	4	Particular Subvencionado	URBANO	433094732
2011	582	LA SERENA	4	Particular Subvencionado	URBANO	673433424
2011	583	LA SERENA	4	Particular Subvencionado	URBANO	568283115
2011	589	LA SERENA	4	Particular Subvencionado	URBANO	127530323
2011	590	LA SERENA	4	Particular Subvencionado	URBANO	623929833
2011	594	LA SERENA	4	Particular Subvencionado	URBANO	27067798
2011	597	LA HIGUERA	4	Municipal	RURAL	236031922
2011	598	LA HIGUERA	4	Municipal	RURAL	28469180
2011	599	LA HIGUERA	4	Municipal	RURAL	141635295
2011	601	LA HIGUERA	4	Municipal	RURAL	22160503
2011	602	LA HIGUERA	4	Municipal	RURAL	165499243
2011	604	LA HIGUERA	4	Municipal	RURAL	57828687
2011	606	LA HIGUERA	4	Municipal	RURAL	20465606
2011	608	LA HIGUERA	4	Municipal	RURAL	22660869
2011	609	COQUIMBO	4	Municipal	URBANO	895915779
2011	610	COQUIMBO	4	Municipal	URBANO	792072833
2011	611	COQUIMBO	4	Municipal	URBANO	468681710
2011	612	COQUIMBO	4	Municipal	URBANO	411955516
2011	613	COQUIMBO	4	Municipal	URBANO	562400153
2011	614	COQUIMBO	4	Municipal	URBANO	439471517
2011	615	COQUIMBO	4	Municipal	URBANO	267312517
2011	616	COQUIMBO	4	Municipal	URBANO	444089492
2011	617	COQUIMBO	4	Municipal	URBANO	312942095
2011	618	COQUIMBO	4	Municipal	URBANO	545091587
2011	620	COQUIMBO	4	Municipal	URBANO	404580113
2011	621	COQUIMBO	4	Municipal	URBANO	317253033
2011	623	COQUIMBO	4	Municipal	URBANO	156886897
